Country Name,Region,2016
The Legend of Zelda: Breath of the Wild,game,7073269
Fire Emblem: Three Houses,game,4248259
Grand Theft Auto V,game,4170815
Red Dead Redemption 2,game,4061046
Avengers: Endgame,movie,3178205
The Elder Scrolls V: Skyrim,game,1969069
Marvel's Thor: Love and Thunder,movie,1890100
Assassin's Creed Odyssey,game,1762278
Arrow,show,1708642
The Witcher 3: Wild Hunt,game,1580595
Game of Thrones,show,1537415
Fortnite,game,1517643
Star Wars: The Rise of Skywalker,movie,1299777
The Witcher,show,1286558
House of X,volume,1180715
Other,genre,1043831
Persona 5,game,1030818
Marvel Ultimate Alliance 3: The Black Order,game,968710
Star Trek: Picard,show,922852
"Pokemon: Let's Go, Pikachu!",game,921513
Super Mario Odyssey,game,907725
The Sims 4,game,880874
Summertime Saga,game,879757
Terminator: Dark Fate,movie,864854
Nintendo Switch,game,860967
Pokemon Go,game,859685
Call of Duty: Modern Warfare,game,836190
Black Panther 2,movie,827055
The Boys,show,820750
Marvel's Jessica Jones,show,807933
Grand Theft Auto: San Andreas,game,767924
Pokemon Sword,game,714909
Detroit: Become Human,game,708231
Borderlands 3,game,688185
Mortal Kombat 11,game,684964
Marvel's Black Widow,movie,683544
Marvel's What If...,show,683229
Super Smash Bros. Ultimate,game,673469
Minecraft,game,667207
Fallout 4,game,666735
Pokemon Moon Version,game,656788
God of War,game,645968
Zombieland: Double Tap,movie,644944
Marvel's Blade,movie,634856
Call of Duty: Black Ops 4,game,588630
Pokemon Alpha Sapphire Version,game,585234
Fast & Furious Presents: Hobbs & Shaw,movie,570702
Spider-Man: Far From Home,movie,567682
Madden NFL 20,game,555813
The Expanse,show,531749
Once Upon a Time in Hollywood,movie,508735
Marvel's Daredevil,show,472410
No Man's Sky,game,466455
Marvel's Doctor Strange in the Multiverse of Madness,movie,456683
Resident Evil 2,game,455553
Borderlands 2: The Horrible Hunger of the Ravenous Wattle Gobbler,game,453009
The Lion King,movie,452077
Kingdom Hearts III,game,450821
Wolfenstein: Youngblood,game,444980
Horizon: Zero Dawn,game,444827
Final Fantasy VII Remake,game,444259
Stephen King's IT Chapter Two,movie,434266
Star Wars: Shadows of the Empire,game,428705
Yakuza 0,game,414910
Guardians of the Galaxy Vol. 3,movie,413839
The Legend of Zelda: Ocarina of Time 3D,game,401666
Watchmen: The Series,show,400448
Metal Gear Solid V: The Phantom Pain,game,374656
Octopath Traveler,game,361200
SEGA Genesis Mini,game,360424
Joker,movie,358927
Marvel's Spider-Man,game,357869
Marvel's Avengers,game,342683
Sekiro: Shadows Die Twice,game,337532
Final Fantasy X,game,335587
Final Fantasy XV,game,328020
Pokemon X,game,323679
Pokemon Red Version,game,321697
WWE 2K20,game,318414
Final Fantasy VII,game,308258
Sonic the Hedgehog: The Movie,movie,298953
Dragon Quest XI: Echoes of an Elusive Age,game,296351
Kingdom Hearts HD I.5 ReMIX,game,294016
Marvel's The Falcon and The Winter Soldier,show,291031
Doom,game,289904
Crash Team Racing Nitro-Fueled,game,287158
Marvel's The Eternals,movie,286846
FIFA 20,game,285946
Hollow Knight,game,284597
Stranger Things,show,273824
Monster Hunter World,game,270594
Marvel Studios,company,264718
Harry Potter: Wizards Unite,game,263646
Apex Legends,game,263152
Scary Stories to Tell in the Dark,movie,262600
Nintendo World Championships 1990,game,260640
Pokemon Trading Card Game,game,258063
Batman Beyond,show,256509
Sideshow Collectibles,company,256126
Batman: Arkham Knight -- Robin: Flip a Coin,game,250034